ID;gebied;knp;x-coord;y-coord;mv;;;;;
*KNP;;200742;95593860;437220240;-2.05;;;0;;
*KNP;;201826;95577827;437239303;-1.54;;;0;;
*KNP;;201825;95590520;437236750;-1.87;;;0;;
*KNP;;200184;96064000;437423840;-1.77;;;0;;
*KNP;;200185;96092831;437412542;-1.74;;;0;;
*KNP;;200659;95772550;437865680;-1.48;;;0;;
*KNP;;200658;95754840;437823840;-1.60;;;0;;
*KNP;;200657;95739050;437786560;-1.52;;;0;;
*KNP;;200656;95740920;437785800;-1.54;;;0;;
*KNP;;200655;95734910;437771600;-1.57;;;0;;
*KNP;;200653;95757858;437734335;-1.88;;;0;;
*KNP;;200009;96086550;437434810;-1.81;;;0;;
*KNP;;200010;96007480;437442960;-1.83;;;0;;
*KNP;;200013;96057021;437313498;-1.58;;;0;1;1
*KNP;;201890;95568593;437454391;-1.54;;;0;;
*KNP;;200736;95492060;437243846;-1.34;;;0;;
*KNP;;200735;95443690;437254590;-1.43;;;0;;
*KNP;;201895;95553373;437300157;-1.35;;;0;;
*KNP;;201511;95329100;437281250;-1.42;;;0;;
*KNP;;201510;95366360;437272500;-1.13;;;0;;
*KNP;;200008;95471518;436764139;3.78;;;0;;
*KNP;;200076;95470050;436760200;3.67;;;0;;
*KNP;;200745;95614100;437215840;2.15;;;0;;
*KNP;;200239;96307463;437433521;-1.14;;;0;;
*KNP;;201989;96129700;437669120;-1.62;;;0;;
*KNP;;200258;96360610;437658630;-1.56;;;0;;
*KNP;;209000;96159170;437657620;-1.25;;;0;;
*KNP;;201531;96020650;437141600;-0.85;;;0;;
*KNP;;201533;96040860;437125720;-1.34;;;0;;
*KNP;;201537;95985450;436977600;1.22;;;0;;
*KNP;;201828;95574553;437231314;-1.50;;;0;;
*KNP;;200167;95777457;437216314;-1.89;;;0;;
*KNP;;200176;95923707;437180535;-1.77;;;0;;
*KNP;;200059;96214621;437348785;-1.45;;;0;;
*KNP;;200802;95554920;437563530;-1.25;;;;;
*KNP;;200787;95709929;437532670;-1.25;;;0;;
*KNP;;201792;95873482;437593642;-2.05;;;0;;
*KNP;;200149;95704958;437244961;-1.92;;;0;;
*KNP;;200882;95661889;437634600;-2.32;;;0;;
*KNP;;201894;95465522;437336364;-1.40;;;0;;
*KNP;;200893;95474169;437416685;-1.38;;;0;;
*KNP;;200020;96070027;437273295;-0.92;;;0;;
*KNP;;201827;95579499;437243303;-1.64;;;0;;
*KNP;;201514;95246282;437300219;-0.81;;;0;;
*KNP;;201539;95971620;436914120;2.43;;;0;;
*KNP;;201544;95952110;436774480;3.92;;;0;;
*KNP;;200116;96029971;437529483;-1.47;;;0;;
*KNP;;200128;96079080;437735520;-1.75;;;0;;
*KNP;;200173;95911105;437185730;-1.78;;;0;;
*KNP;;200188;95854235;437230120;-1.86;;;0;;
*KNP;;206101;95873730;437634560;-1.59;;;;;
*KNP;;200101;95949980;437618160;-2.08;;;0;;
*KNP;;200118;96067443;437514090;-1.64;;;0;;
*KNP;;206136;95827240;437546410;-1.86;;;0;;
*KNP;;201207;95481600;436823520;2.71;;;0;;
*KNP;;200246;96348881;437558115;-1.37;;;0;;
*KNP;;200072;95488881;436807625;2.93;;;0;;
*KNP;;206135;95840010;437576470;-2.22;;;0;;
*KNP;;200737;95543200;437231906;-1.51;;;0;;
*KNP;;206134;95862229;437567518;-1.83;;;0;;
*KNP;;200734;95417835;437314927;-1.23;;;0;;
*KNP;;200889;95514100;437551780;-1.51;;;0;;
*KNP;;201534;96027140;437088960;-0.90;;;0;;
*KNP;;201507;95599661;437273624;-1.48;;;0;;
*KNP;;206124;95667200;437536630;-1.25;;;;;
*KNP;;200058;96208971;437347595;-1.45;;;0;;
*KNP;;200725;95503948;437489262;-1.47;;;0;;
*KNP;;200785;95731259;437528667;-1.10;;;0;;
*KNP;;200825;95963270;437469679;-1.45;;;0;;
*KNP;;200888;95672682;437535878;-1.25;;;0;;
*KNP;;206117;95694630;437678030;-1.61;;;;;
*KNP;;200029;96140550;437348120;-0.38;;;0;;
*KNP;;200827;95996668;437464553;-1.72;;;0;;
*KNP;;201535;96013066;437050527;-0.62;;;0;;
*KNP;;200741;95587950;437221440;-1.96;;;0;;
*KNP;;201541;95972110;436843840;3.99;;;0;;
*KNP;;200114;95971210;437553120;-1.35;;;0;;
*KNP;;200784;95730227;437524047;-1.22;;;0;;
